Course Title,University,Country,Course Area
Economics of the Welfare State,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Financial Methods & Techniques,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Impact Evaluation of Business Strategy and Public Policy,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Introduction to Behavioural Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Labour Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Mathematical Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Monetary Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
"Money, Credit and Banking","Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
New Research Methods in Data Analytics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
New economic thinking & social entrepreneurship,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Quality of Life and Happiness Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Sports Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
The Practice of Financial Markets,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Economics Major Elective
Data Mining,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Data Science & Analytics (DA)
Databases,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Data Science & Analytics (CT)
Computer Science,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Free Electives (For SOE only)
Minor Sports and Society,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Free Electives (For SOE only)
Sports and Society,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Free Electives (For SOE only)
Behavioural Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,General Education - Arts
History and Diversity of Economic Thought: Past and Present,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,General Education - Arts
INTERNATIONAL ECONOMICS,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Globalisation
Advancing new perspectives on economic thinking- sustainability transitions in Rotterdam,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Global and Regional Studies
"Money, Credit and Banking","Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,IS Options
New Research Methods in Data Analytics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,IS Options
The Practice of Financial Markets,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,IS Options
Introduction to Entrepreneurship and Strategy Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Technology & Entrepreneurship
Introduction to Entrepreneurship and Strategy Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Technology and Entrepreneursh
Introduction to Entrepreneurship and Strategy Economics,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Technology and Entrepreneurshi
Introduction to Industrial Dynamics and Strategy,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Technology & Entrepreneurship
Introduction to Industrial Dynamics and Strategy,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Technology and Entrepreneursh
Introduction to Industrial Dynamics and Strategy,"Erasmus University Rotterdam, Erasmus School of Economics",Netherlands,Technology and Entrepreneurshi
Intellectual Property Law,Maastricht University Faculty of Law - Themis,Netherlands,Intellectual Property Law
Public International Law,Maastricht University Faculty of Law - Themis,Netherlands,Public International Law
Public International Law (IER4021),Maastricht University Faculty of Law - Themis,Netherlands,Public International Law
International Trade Law,Maastricht University Faculty of Law - Themis,Netherlands,WTO: Law and Policy
Global Tax Policy and Governance,Maastricht University Faculty of Law - Themis,Netherlands,Globalisation
Global Tax Policy and Governance (TAX4014),Maastricht University Faculty of Law - Themis,Netherlands,Globalisation
Crime and Criminal Policy,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
Criminological perspectives,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
Criminological perspectives (CRI4017),Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
European Environmental Law,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
European Property Law (PRI4005),Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
Family Law in Europe,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
Internal Market Law and Governance,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
International Criminal Law,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
International Dispute Settlement,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
International and European Law,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
Introduction to International Human Rights,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
Law and Art: The Free Movement of Cultural Property,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
Law and Economics,Maastricht University Faculty of Law - Themis,Netherlands,Law Major Elective-LLB/JD only
Linear Algebra,Maastricht University (Knowledge Engineering),Netherlands,Quantitative Finance Elective
PROLOG,Maastricht University (Knowledge Engineering),Netherlands,IS Technology Depth Elective
Introduction to Business Management,Maastricht University (Knowledge Engineering),Netherlands,Business-Oriented Elective
Advanced Concepts in Machine Learning,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Data Mining,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Foundations of Agents,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Graph Theory,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Intelligent Search & Games,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Introduction to Bio-Informatics,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Logic for Artificial Intelligence,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Parallel Programming,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Reasoning Techniques,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
Stochastic Decision Making,Maastricht University (Knowledge Engineering),Netherlands,IS Depth Elective
HUMAN RIGHTS,Maastricht University (UCM),Netherlands,Human Rights in Intl Relations
Developmental Psychology,Maastricht University (UCM),Netherlands,Developmental Psychology
China and India in Global Governance,Maastricht University (UCM),Netherlands,Asian Studies
Chinese International Relations and Foreign Policy,Maastricht University (UCM),Netherlands,Asian Studies
Economics and Society in Contemporary Asia,Maastricht University (UCM),Netherlands,Asian Studies
Advertising: Marketing Communications of Brands,Maastricht University (UCM),Netherlands,Marketing Major Elective
Accounting and Accountability,Maastricht University (UCM),Netherlands,Capabilities - Managing
Data Analysis and Visualisation for the Humanities and Social Sciences,Maastricht University (UCM),Netherlands,Capabilities - Managing
Entrepreneurship,Maastricht University (UCM),Netherlands,Capabilities - Managing
Organization Theory,Maastricht University (UCM),Netherlands,Capabilities - Managing
Public Health Policymaking,Maastricht University (UCM),Netherlands,Capabilities - Managing
Public Policy Evaluation,Maastricht University (UCM),Netherlands,Capabilities - Managing
Social Studies of Finance: The Making (and Taking) of Value in the Financialization of Our Lives,Maastricht University (UCM),Netherlands,Capabilities - Managing
The Digital Enterprise,Maastricht University (UCM),Netherlands,Capabilities - Managing
Philosophical Ethics,Maastricht University (UCM),Netherlands,Cap - Modes of Thinking
Political Philosophy,Maastricht University (UCM),Netherlands,Cap - Modes of Thinking
A Cultural Critique of Our Aging Society,Maastricht University (UCM),Netherlands,Comm - Cltr of the Modern Wrl
A Cultural Critique of Our Aging Society,Maastricht University (UCM),Netherlands,Comm - Cultures of the Mod W
Cultural Diversity in a Globalizing World,Maastricht University (UCM),Netherlands,Comm - Cltr of the Modern Wrl
Cultural Diversity in a Globalizing World,Maastricht University (UCM),Netherlands,Comm - Cultures of the Mod W
Enlightenment and Romanticism,Maastricht University (UCM),Netherlands,Comm - Cltr of the Modern Wrl
Enlightenment and Romanticism,Maastricht University (UCM),Netherlands,Comm - Cultures of the Mod W
"The Making of Crucial Differences: ‘Race’, Sexuality, Gender, and Class in Historical Perspective",Maastricht University (UCM),Netherlands,Comm - Cltr of the Modern Wrl
"The Making of Crucial Differences: ‘Race’, Sexuality, Gender, and Class in Historical Perspective",Maastricht University (UCM),Netherlands,Comm - Cultures of the Mod W
"The Social Study of Environmental Problems: Between Nature, Society, and  Politics",Maastricht University (UCM),Netherlands,Comm - Cltr of the Modern Wrl
"The Social Study of Environmental Problems: Between Nature, Society, and  Politics",Maastricht University (UCM),Netherlands,Comm - Cultures of the Mod W
International Relations: Themes and Theories,Maastricht University (UCM),Netherlands,Comm-Cltr of Mdrn Wrld+AS std
The Economics of Information,Maastricht University (UCM),Netherlands,Economics Major Elective
Introduction to Philosophy,Maastricht University (UCM),Netherlands,Econ Major Rel/Econ Options
Entrepreneurship,Maastricht University (UCM),Netherlands,Entrepreneurship Cluster
Social and Sustainable Entrepreneurship,Maastricht University (UCM),Netherlands,Entrepreneurship Cluster
Narrative Media,Maastricht University (UCM),Netherlands,General Education - Arts
Cultural Diversity in a Globalizing World,Maastricht University (UCM),Netherlands,Globalisation
Globalization and Inequality,Maastricht University (UCM),Netherlands,Globalisation
International Relations: Themes and Theories,Maastricht University (UCM),Netherlands,Globalisation
"Culture, Politics & Society in Contemporary Asia",Maastricht University (UCM),Netherlands,Global and Regional Studies
Globalization and Inequality,Maastricht University (UCM),Netherlands,Global and Regional Studies
Datamining,Maastricht University (UCM),Netherlands,IT Solution Dev Elective
Introduction to Game Theory,Maastricht University (UCM),Netherlands,IT Solution Dev Elective
Mathematical Modelling,Maastricht University (UCM),Netherlands,IT Solution Dev Elective
Science Research Project: Data Science,Maastricht University (UCM),Netherlands,IT Solution Dev Elective
PHILOSOPHY OF MIND,Maastricht University (UCM),Netherlands,SSMR (Social Science)
"SEX, SEXUALITY AND SOCIETY",Maastricht University (UCM),Netherlands,SSMR (Social Science)
"The Making of Crucial Differences: ‘Race’, Sexuality, Gender, and Class in Historical Perspective",Maastricht University (UCM),Netherlands,SSMR (Social Science)
HISTORY OF PSYCHOLOGY,Maastricht University (UCM),Netherlands,Psychology Major Elective
Digital Media,Maastricht University (UCM),Netherlands,Technology & Entrepreneurship
Digital Media,Maastricht University (UCM),Netherlands,Technology and Entrepreneursh
Digital Media,Maastricht University (UCM),Netherlands,Technology and Entrepreneurshi
Public International Law,Leiden University,Netherlands,Public International Law
Modern Japanese History,Leiden University,Netherlands,Asian Studies
"State, Politics and Economy in Modern South and Southeast Asia",Leiden University,Netherlands,Asian Studies
Digital Transformation,Leiden University,Netherlands,Comm - Technology & Society
Digital Transformation,Leiden University,Netherlands,Communities – Tech and Society
Culture and Language: East Asia,Leiden University,Netherlands,Comm - Cltr of the Modern Wrl
Culture and Language: East Asia,Leiden University,Netherlands,Comm - Cultures of the Mod W
Culture and Language: Europe,Leiden University,Netherlands,Comm - Cltr of the Modern Wrl
Culture and Language: Europe,Leiden University,Netherlands,Comm - Cultures of the Mod W
Culture and Society of the Netherlands: An Inside View,Leiden University,Netherlands,Comm - Cltr of the Modern Wrl
Culture and Society of the Netherlands: An Inside View,Leiden University,Netherlands,Comm - Cultures of the Mod W
Arts and Material Culture of Japan,Leiden University,Netherlands,Free Electives (SCIS only)
Foundations of Political Economy,Leiden University,Netherlands,Free Electives (SCIS only)
History: Europe,Leiden University,Netherlands,Free Electives (SCIS only)
Introduction to International Relations (for Exchange),Leiden University,Netherlands,Free Electives (SCIS only)
Introduction to the History of the Netherlands,Leiden University,Netherlands,Free Electives (SCIS only)
Modern Chinese History,Leiden University,Netherlands,Free Electives (SCIS only)
Music: Introduction Jazz History,Leiden University,Netherlands,Free Electives (SCIS only)
Politics of the European Union (for Exchange students),Leiden University,Netherlands,Free Electives (SCIS only)
Social and Organisational Psychology,Leiden University,Netherlands,Free Electives (SCIS only)
World Philosophies: Africa,Leiden University,Netherlands,Free Electives (SCIS only)
Global History,Leiden University,Netherlands,Globalisation
Introduction to International Relations and Organizations,Leiden University,Netherlands,Globalisation
Public International Law,Leiden University,Netherlands,Globalisation
Trade and Finance in the Global Economy,Leiden University,Netherlands,Globalisation
Ancient Egyptian Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Basics of International Humanitarian Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Comparative Sexual Orientation Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Criminalistics,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Cyber Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Cyberspace and Cyberlaw (ENG),Leiden University,Netherlands,Law Major Elective-LLB/JD only
Discrimination in Law and Society: External Perspectives on Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
EU Criminal Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
European Asylum law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
European Labour Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
European Migration Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
European Private International Law in a Global Context,Leiden University,Netherlands,Law Major Elective-LLB/JD only
European Union Law Foundations,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Financial Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Global and European Labour Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
International Corporate Insolvency Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Introduction to Children's Rights,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Law and Culture,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Law and Governance in Developing Countries,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Law and Society in Japan,Leiden University,Netherlands,Law Major Elective-LLB/JD only
"Law, Sharia and Governance in North Africa and the Middle East",Leiden University,Netherlands,Law Major Elective-LLB/JD only
Protection of Human Rights in Europe,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Turnaround Management and Bankruptcy Law,Leiden University,Netherlands,Law Major Elective-LLB/JD only
Management Accounting 2,University of Amsterdam,Netherlands,Strategic Mgmt Accounting
Development Economics,University of Amsterdam,Netherlands,Development Economics
Game Theory,University of Amsterdam,Netherlands,Game Theory
Industrial Organisation,University of Amsterdam,Netherlands,Industrial Organisation
Labour Economics,University of Amsterdam,Netherlands,Labour Economics
Organisational Economics,University of Amsterdam,Netherlands,Organisational Economics
Public International Law,University of Amsterdam,Netherlands,Public International Law
Bayesian Statistics for Machine Learning,University of Amsterdam,Netherlands,ADA Major Elective + AO/AE
Digital Marketing and Analytics,University of Amsterdam,Netherlands,ADA Major Elective + AO/AE
Foundations of Multi-Agent Systems,University of Amsterdam,Netherlands,ADA Major Elective + AO/AE
Information and Data Management,University of Amsterdam,Netherlands,ADA Major Elective + AO/AE
Introduction to Python,University of Amsterdam,Netherlands,ADA Major Elective + AO/AE
Problem Solving and Search,University of Amsterdam,Netherlands,ADA Major Elective + AO/AE
Strategy Analytics,University of Amsterdam,Netherlands,ADA Major Elective + AO/AE
Anthropology of East Asia,University of Amsterdam,Netherlands,Asian Studies
Social Transformations in China,University of Amsterdam,Netherlands,Asian Studies
Digital Technologies and Marketing,University of Amsterdam,Netherlands,Business Option
Game Theory,University of Amsterdam,Netherlands,Business Option
History of Economic Thought,University of Amsterdam,Netherlands,Business Option
Financial Derivatives,University of Amsterdam,Netherlands,Finance Major Elective
International Money and Finance,University of Amsterdam,Netherlands,Finance Major Elective
Investment and Portfolio Theory 2,University of Amsterdam,Netherlands,Finance Major Elective
Money and Banking,University of Amsterdam,Netherlands,Finance Major Elective
Real Estate Finance and Urban Development,University of Amsterdam,Netherlands,Finance Major Elective
Digital Innovation and Entrepreneurship,University of Amsterdam,Netherlands,Strategic Mgmt Major Elective
Retail Marketing,University of Amsterdam,Netherlands,Marketing Major Elective
Investment and Portfolio Theory 2,University of Amsterdam,Netherlands,Finance (Finance Analytics Tra
Intercultural Skills,University of Amsterdam,Netherlands,Capabilities - Managing
Global Digital Cultures,University of Amsterdam,Netherlands,Comm - Technology & Society
Global Digital Cultures,University of Amsterdam,Netherlands,Communities – Tech and Society
"Topic Always Connected: Key insights in youth, media and technology",University of Amsterdam,Netherlands,Comm - Technology & Society
"Topic Always Connected: Key insights in youth, media and technology",University of Amsterdam,Netherlands,Communities – Tech and Society
"Blockchain: Imaginaries, Economics, and Cultures",University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
"Blockchain: Imaginaries, Economics, and Cultures",University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
Contemporary World Literature,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
Contemporary World Literature,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
Cultural Industries,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
Cultural Industries,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
Culture and Catastrophe: a German and Jewish History,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
Culture and Catastrophe: a German and Jewish History,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
"Dutch Problems, Dutch Solutions",University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
"Dutch Problems, Dutch Solutions",University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
European Literary History,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
European Literary History,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
Islamicate Art across the Mediterranean World,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
Islamicate Art across the Mediterranean World,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
Modern Art Globally Oriented 2,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
Modern Art Globally Oriented 2,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
Moving images in film and literature,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
Moving images in film and literature,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
Reading the City: Amsterdam Literary Classics,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
Reading the City: Amsterdam Literary Classics,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
The Netherlands in the World,University of Amsterdam,Netherlands,Comm - Cltr of the Modern Wrl
The Netherlands in the World,University of Amsterdam,Netherlands,Comm - Cultures of the Mod W
Anthropology of Modern Asia,University of Amsterdam,Netherlands,Asia Studies
Southeast Asian Politics,University of Amsterdam,Netherlands,Asia Studies
Statistics 2 for Economics,University of Amsterdam,Netherlands,Economics Major Elective
Corporate Entrepreneurship,University of Amsterdam,Netherlands,Entrepreneurship Cluster
Cultural Industries,University of Amsterdam,Netherlands,Free Electives (SCIS only)
Environmental Economics,University of Amsterdam,Netherlands,Free Electives (SCIS only)
Marketing,University of Amsterdam,Netherlands,Free Electives (SCIS only)
Mindfulness across the life span,University of Amsterdam,Netherlands,Free Electives (SCIS only)
Organisations in the Media,University of Amsterdam,Netherlands,Free Electives (SCIS only)
"Privacy in Public: Big Data, Self Tracking, Social Networks",University of Amsterdam,Netherlands,Free Electives (SCIS only)
Topic All things media? Emerging communication technologies and their impact on us and society,University of Amsterdam,Netherlands,Free Electives (SCIS only)
Contested globalization,University of Amsterdam,Netherlands,Globalisation
"Globalisation, education policy and change",University of Amsterdam,Netherlands,Globalisation
Globalising cultures,University of Amsterdam,Netherlands,Globalisation
International Business,University of Amsterdam,Netherlands,Globalisation
Digital Technologies and Marketing,University of Amsterdam,Netherlands,Technology Studies
Information and Data Management,University of Amsterdam,Netherlands,Technology Studies
Media and Consumer Culture,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Marketing Major Elective
Social Media Marketing,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Marketing Major Elective
Transmedia Entertainment & Marketing,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Marketing Major Elective
Intercultural Communication,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Corp Comm Major Elective
CM2087 Public Speaking,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Capabilities - Managing
CM2094 Sustainability Communication: Systemic Approaches,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Capabilities - Managing
Communication Technologies and their Impacts,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Comm - Technology & Society
Communication Technologies and their Impacts,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Communities – Tech and Society
"Media, games and creative industry","Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Comm - Technology & Society
"Media, games and creative industry","Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Communities – Tech and Society
"Technology, Media and Identity (CM2090)","Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Comm - Technology & Society
"Technology, Media and Identity (CM2090)","Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Communities – Tech and Society
CC1022: Cultural and Creative Industries,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Comm - Cltr of the Modern Wrl
CC1022: Cultural and Creative Industries,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Comm - Cultures of the Mod W
Cultural Identities and New Media (CM2027),"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Comm - Cltr of the Modern Wrl
Cultural Identities and New Media (CM2027),"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Comm - Cultures of the Mod W
Cinemas in Context,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Free Electives (SCIS only)
Consumer Behavior & Marketing Action,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Free Electives (SCIS only)
Consumer Behaviour and Brand Loyalty,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Free Electives (SCIS only)
Feeling Orange - Perspectives on Dutch Culture,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Free Electives (SCIS only)
"Surveillance in Film, TV, and Media Platforms","Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Free Electives (SCIS only)
Sustainability Communication: Systemic Approaches,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Free Electives (SCIS only)
"Technology, Media and Identity","Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Free Electives (SCIS only)
Television Industries in the Age of Streaming,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Free Electives (SCIS only)
"Arts, Culture, and the Media","Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,GEA + CORC
Emerging Economies and Global Labour,"Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Globalisation
"Europe in a Globalizing World: Migration, Citizenship and Identity","Erasmus University Rotterdam, Erasmus School of History, Culture & Communication",Netherlands,Globalisation
Macro and Monetary Economics,University of Canterbury,New Zealand,Monetary Economics
Health Economics,University of Canterbury,New Zealand,Health Economics
Intellectual Property Law,University of Canterbury,New Zealand,Intellectual Property Law
Principles of Public International Law,University of Canterbury,New Zealand,Public International Law
International Criminal Law,University of Canterbury,New Zealand,Intl & C'parative Crim Justice
International Finance,University of Canterbury,New Zealand,Acct Options / Acct Elective
Special Topic: Business and Culture,University of Canterbury,New Zealand,Business Option
Special Topic: Business and Sustainability,University of Canterbury,New Zealand,Business Option
Applied Corporate Finance,University of Canterbury,New Zealand,Finance Major Elective
Derivative Securities,University of Canterbury,New Zealand,Finance Major Elective
Financial Modelling,University of Canterbury,New Zealand,Finance Major Elective
Fixed Income Securities,University of Canterbury,New Zealand,Finance Major Elective
Leading Change & Innovation,University of Canterbury,New Zealand,Strategic Mgmt Major Elective
Customer Experience,University of Canterbury,New Zealand,Marketing Major Elective
Marketing for Behavioural Change,University of Canterbury,New Zealand,Marketing Major Elective
Services marketing & management,University of Canterbury,New Zealand,Marketing Major Elective
Strategic Marketing,University of Canterbury,New Zealand,Marketing Major Elective
Project Management,University of Canterbury,New Zealand,Operations Mgmt Major Elective
"Propaganda, Public Relations and Power",University of Canterbury,New Zealand,Corp Comm Major Elective
Social media and public life,University of Canterbury,New Zealand,Corp Comm Major Elective
"Business, Society and the Environment",University of Canterbury,New Zealand,Capabilities - Managing
European Languages in Europe and Beyond,University of Canterbury,New Zealand,General Education - Arts
Media and the Representation of Differences,University of Canterbury,New Zealand,General Education - Arts
Applied Human Resource Management,University of Canterbury,New Zealand,Global and Regional Studies
The European Union in the Asia-Pacific,University of Canterbury,New Zealand,Global and Regional Studies
Advanced Employment Law,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
Child and Family Law,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
Commercial Law II: Personal Property Security and Credit,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
Insurance Law,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
International Environmental Law,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
International Human Rights,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
Law and Medicine,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
Law of the Sea,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
Resource Management Act 1991: Selected Issues,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
Selected Issues in Taxation,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
Transnational Criminal Law,University of Canterbury,New Zealand,Law Major Elective-LLB/JD only
"Democracy, Technology and Power",University of Canterbury,New Zealand,Political Science Major
Introduction to World Politics,University of Canterbury,New Zealand,Political Science Major
Ethnicity,University of Canterbury,New Zealand,Sociology Major Elective
Postcolonialism and Identities,University of Canterbury,New Zealand,Sociology Major Elective
World Cinema in the 21st Century,University of Canterbury,New Zealand,Arts & Cul Mgmt Major - A&C
Information Systems and Technology,University of Canterbury,New Zealand,Technology & Entrepreneurship
Information Systems and Technology,University of Canterbury,New Zealand,Technology and Entrepreneursh
Information Systems and Technology,University of Canterbury,New Zealand,Technology and Entrepreneurshi
International Law,Victoria University of Wellington,New Zealand,Public International Law
Special Topic: Freedom of Expression and Privacy,Victoria University of Wellington,New Zealand,Public International Law
Special Topics: Law of the Sea,Victoria University of Wellington,New Zealand,Public International Law
Buyer Behaviour,Victoria University of Wellington,New Zealand,Business Option
Applied Finance,Victoria University of Wellington,New Zealand,Finance Major Elective
Introduction to Investments,Victoria University of Wellington,New Zealand,Finance Major Elective
Services Marketing,Victoria University of Wellington,New Zealand,Marketing Major Elective
Introduction to Tourism,Victoria University of Wellington,New Zealand,Operations Mgmt Major Elective
Banking Law,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
Climate Change and the Law,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
Introduction to Commercial Law,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
Introduction to Family Law,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
Regulating Labour and Work,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
Relationship Property and Succession,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
Remedies,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
Sentencing and Penal Policy,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
Special Topic: Immigration and Asylum,Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
"Special Topic: Indigenous Rights Compared: NZ, Canada, Australia, America",Victoria University of Wellington,New Zealand,Law Major Elective-LLB/JD only
